timestamp,AQIH,PM2.5,PM10
15-02-2024 00:00,88,49,62
15-02-2024 00:15,97,50,63
15-02-2024 00:30,90,50,63
15-02-2024 00:45,90,50,64
15-02-2024 01:00,95,50,64
15-02-2024 01:15,97,51,66
15-02-2024 01:30,98,53,67
15-02-2024 01:45,98,53,67
15-02-2024 02:00,104,54,68
15-02-2024 02:15,104,55,69
15-02-2024 02:30,121,57,71
15-02-2024 02:45,125,58,71
15-02-2024 03:00,125,59,72
15-02-2024 03:15,135,60,73
15-02-2024 03:30,132,61,74
15-02-2024 03:45,139,63,75
15-02-2024 04:00,159,67,77
15-02-2024 04:15,152,66,77
15-02-2024 04:30,156,67,77
15-02-2024 04:45,176,68,78
15-02-2024 05:00,162,69,79
15-02-2024 05:15,169,71,80
15-02-2024 05:30,176,71,81
15-02-2024 05:45,176,71,82
15-02-2024 06:00,173,70,81
15-02-2024 06:15,162,67,79
15-02-2024 06:30,169,70,80
15-02-2024 06:45,183,74,85
15-02-2024 07:00,183,72,85
15-02-2024 07:15,183,73,85
15-02-2024 07:30,180,73,84
15-02-2024 07:45,176,72,82
15-02-2024 08:00,159,67,78
15-02-2024 08:15,149,64,76
15-02-2024 08:30,145,65,76
15-02-2024 08:45,156,64,76
15-02-2024 09:00,145,63,75
15-02-2024 09:15,145,62,74
15-02-2024 09:30,132,60,73
15-02-2024 09:45,125,58,72
15-02-2024 10:00,115,56,70
15-02-2024 10:15,115,55,70
15-02-2024 10:30,108,53,68
15-02-2024 10:45,101,52,67
15-02-2024 11:00,98,50,65
15-02-2024 11:15,90,49,63
15-02-2024 11:30,88,48,62
15-02-2024 11:45,81,44,56
15-02-2024 12:00,78,42,53
15-02-2024 12:15,76,40,50
15-02-2024 12:30,73,39,48
15-02-2024 12:45,73,39,49
15-02-2024 13:00,75,40,49
15-02-2024 13:15,75,38,47
15-02-2024 13:30,73,38,47
15-02-2024 13:45,73,38,47
15-02-2024 14:00,73,38,48
15-02-2024 14:15,73,38,48
15-02-2024 14:30,73,38,47
15-02-2024 14:45,73,39,49
15-02-2024 15:00,73,39,48
15-02-2024 15:15,75,39,49
15-02-2024 15:30,71,37,46
15-02-2024 15:45,66,34,40
15-02-2024 16:00,66,34,41
15-02-2024 16:15,63,32,38
15-02-2024 16:30,63,32,37
15-02-2024 16:45,65,33,39
15-02-2024 17:00,68,34,41
15-02-2024 17:15,68,35,42
15-02-2024 17:30,66,35,43
15-02-2024 17:45,70,36,45
15-02-2024 18:00,70,36,45
15-02-2024 18:15,73,39,48
15-02-2024 18:30,81,41,52
15-02-2024 18:45,81,44,55
15-02-2024 19:00,81,45,57
15-02-2024 19:15,85,45,57
15-02-2024 19:30,101,50,65
